hgnc_symbol	affy_hg_u133_plus_2
ATRX	208861_s_at
ATRX	
SETX	201965_s_at
SETX	201964_at
SETX	232229_at
SETX	
KRT18P45	
COPRS	225096_at
LINC01340	
LINC02161	
RNF138P1	
MTND6P22	
RIOK2	222663_at
RIOK2	218535_s_at
RIOK2	
EIF2B2	202461_at
EIF2B2	
SLC25A5P1	
NAGA	202943_s_at
NAGA	1555041_a_at
NAGA	202944_at
MTND5P40	
GPATCH8	212487_at
GPATCH8	212485_at
GPATCH8	
MNS1	
MNS1	219703_at
LINC01884	
LINC01318	
LINC00211	
ZFYVE9P2	
RPL11P1	
KCNG3	1552897_a_at
KCNG3	1552898_a_at
LINC02468	
NPM1P52	
REXO1L9P	
	1556161_a_at
PTGES	210367_s_at
PTGES	207388_s_at
RPL30P10	
TNFRSF11B	204932_at
TNFRSF11B	204933_s_at
TNFRSF11B	
MLH3	217216_x_at
MLH3	204838_s_at
MLH3	214525_x_at
MLH3	
GJA1P1	
TAF11L14	
GALK2	
GALK2	205219_s_at
GALK2	230918_at
GALK2	216411_s_at
RMDN2-AS1	
TSSK6	224409_s_at
TSSK6	230989_s_at
TSSK6	239524_at
	240755_at
TTF1	204772_s_at
TTF1	204771_s_at
TTF1	
CMTM8	235099_at
NDUFA13	220864_s_at
NDUFA13	
IRX1	230472_at
STRN	242989_at
STRN	244354_at
STRN	205520_at
STRN	236388_at
STRN	215287_at
STRN	227422_at
STRN	230734_x_at
STRN	236980_at
STRN	
CSTF1	
CSTF1	202190_at
CSTF1	32723_at
SRSF6P2	
USP32P3	226505_x_at
USP32P3	213510_x_at
USP32P3	1559324_at
USP32P3	
RPS27AP11	
PRR16	220014_at
PRR16	1554867_a_at
LINC02880	1553448_at
CHCHD4	229595_at
GUSBP16	
AOC3	204894_s_at
AOC3	
	1564749_at
TPT1P5	
RPS26P6	217753_s_at
ERRFI1-DT	
LECT2	
LECT2	207409_at
HBS1L	209316_s_at
HBS1L	240602_at
HBS1L	209315_at
HBS1L	209314_s_at
HBS1L	
SUMO2P18	
	1561909_at
PHETA2	226504_at
PHETA2	
NASPP1	
SDCBPP2	1569952_x_at
NCAN	205143_at
NCAN	
LINC02247	
BRD3OS	203245_s_at
BRD3OS	213788_s_at
BRD3OS	
GRM7	
GRM7	217008_s_at
GRM7	207548_at
GRM7	241049_at
LINC02847	
SDR16C6P	
SNORD13P1	
CCDC134	220077_at
CCDC134	235434_at
VPS13D	212323_s_at
VPS13D	212324_s_at
VPS13D	212326_at
VPS13D	
VPS13D	220221_at
LINC01288	
PICALM	215236_s_at
PICALM	212506_at
PICALM	212511_at
PICALM	
SNAI2	213139_at
SNAI2	
LINC02661	
NPAP1P4	
LIX1-AS1	
HABP2	206010_at
HABP2	
RALGPS1	204199_at
RALGPS1	1555452_at
RALGPS1	
RALGPS1	1554745_at
RALGPS1	210552_s_at
FAM83G	228587_at
FAM83G	
TICAM2-AS1	
CENPA	204962_s_at
CENPA	210821_x_at
RNU7-167P	
HMGXB4	212596_s_at
HMGXB4	212597_s_at
HMGXB4	
RPS12P15	
CDH6	210601_at
CDH6	210602_s_at
CDH6	205533_s_at
CDH6	214803_at
CDH6	205532_s_at
CDH6	232631_at
CDH6	
MTBP	233436_at
MTBP	
MTBP	1552518_s_at
MTBP	1563614_at
PCED1B	228298_at
RPL39P	
RTF2	217737_x_at
RTF2	234926_s_at
RTF2	233842_x_at
RTF2	236702_at
RTF2	224128_at
RTF2	
SUGP1	209547_s_at
SUGP1	215004_s_at
SUGP1	
RPS27P18	
KCNK18	
NT5C3B	225044_at
NT5C3B	
NKX1-2	230356_at
LHPP	
LHPP	218523_at
B4GALNT3	229203_at
B4GALNT3	1553727_at
B4GALNT3	229909_at
B4GALNT3	
RNU6-689P	
DBIL5P2	224258_at
ACYP1	205260_s_at
ACYP1	
FBXL12P1	
MEIS1-AS2	
HOMER1	1570644_at
HOMER1	226651_at
HOMER1	213793_s_at
EFEMP1	201842_s_at
EFEMP1	201843_s_at
EFEMP1	
RPL31P41	
LINC01609	
ZC2HC1C	220107_s_at
ZC2HC1C	
DHX32	218198_at
DHX32	
RPSAP48	
MTERF3	219363_s_at
MTERF3	
HIF1AP1	
LINC01547	1555393_s_at
LINC01547	1552528_at
LINC01547	1555627_s_at
TMED10	200929_at
TMED10	212352_s_at
TMED10	
LINC02386	
MIR3909	
MIR6069	
MCM5	
MCM5	201755_at
MCM5	216237_s_at
SLC38A4	220786_s_at
SLC38A4	1555345_at
SLC38A4	
KRTAP26-1	
KRTAP27-1	
KRTAP13-6P	
KRTAP13-2	
MIR4327	
KRTAP13-1	1564921_at
COX6CP10	
KRTAP13-5P	
KRTAP15-1	
RNU4ATAC14P	
KRTAP19-1	1556410_a_at
	239483_at
KRTAP19-2	
SERPINA4	213874_at
TEX36-AS1	1556133_s_at
KRTAP19-3	240967_at
FGD5	
FGD5	226985_at
FGD5	226984_at
KRTAP19-4	
KRTAP19-5	
HTRA1	201185_at
KRTAP19-9P	
KRTAP19-10P	
KRTAP19-11P	
H3P23	
KRTAP19-6	
KRTAP19-7	
KRTAP22-2	
KRTAP6-3	
FSTL4	1564511_a_at
FSTL4	214859_at
FSTL4	
KRTAP22-1	
KRTAP20-1	
KRTAP20-4	
KRTAP20-2	
KRTAP20-3	
KRTAP21-3	
KRTAP21-4P	
KRTAP21-2	
KRTAP21-1	
KRTAP23-1	
KRTAP13-3	
RNU6-426P	
VDAC2P1	
RPS26P5	
SNORD74B	
CAMSAP1-DT	
MIR99A	
MIRLET7C	
MIR125B2	
RNU1-98P	
MVB12B	52975_at
MVB12B	221828_s_at
MVB12B	221687_s_at
MVB12B	1554065_at
MVB12B	
TIAM1	206409_at
TIAM1	213135_at
TIAM1	
PPIAP85	
DSCC1	219000_s_at
DSCC1	
SERPINA5	
SERPINA5	209443_at
EGLN3P1	
ETFBKMT	1569792_a_at
ETFBKMT	1554583_a_at
ETFBKMT	1554582_a_at
ETFBKMT	1563475_s_at
ETFBKMT	1563474_at
ETFBKMT	
FAM209A	
REXO1L2P	
MRPL13	
MRPL13	218049_s_at
FAM209B	232513_x_at
LINC02147	
CASS4	220888_s_at
CASS4	1554786_at
EGFLAM-AS4	1570163_at
LSM6P2	
LINC01455	
FCN2	207804_s_at
THBS4	
THBS4	204776_at
AMN1	226258_at
AMN1	
FSHR	211201_at
FSHR	
LINC01613	1561278_at
CHRNA3	211587_x_at
CHRNA3	211772_x_at
CHRNA3	210221_at
CHRNA3	
SNX30-DT	
BORCS8-MEF2B	205124_at
BORCS8-MEF2B	
NDUFAF5	227160_s_at
NDUFAF5	222894_x_at
NDUFAF5	219524_s_at
NDUFAF5	
PAPPA	224942_at
PAPPA	224940_s_at
PAPPA	201981_at
PAPPA	1559400_s_at
PAPPA	228128_x_at
PAPPA	224941_at
PAPPA	201982_s_at
PAPPA	
	1560449_at
	1561052_s_at
RRAGB	205540_s_at
RRAGB	
	226332_at
GUSBP14	215599_at
MTND1P5	
MKI67	212020_s_at
MKI67	212022_s_at
MKI67	212021_s_at
MKI67	212023_s_at
MKI67	
HMOX1	
HMOX1	203665_at
CCN3	204501_at
CCN3	214321_at
CCN3	
	202376_at
SERPINA3	
SERPINA3	202376_at
NNT	
NNT	202784_s_at
NNT	202783_at
NNT	238530_at
NNT	244531_at
NRBF2P4	
LINC01414	
TNPO1P3	
GALNT12	222773_s_at
GALNT12	218885_s_at
GALNT12	
G6PC1	1555612_s_at
G6PC1	206952_at
G6PC1	
SUMO2P20	
VSIG1	234370_at
VSIG1	243764_at
VSIG1	
TMEM74	1555159_at
TMEM74	1552520_at
TMEM74	1552521_a_at
FBXO32	225328_at
FBXO32	225803_at
FBXO32	225801_at
FBXO32	225345_s_at
FBXO32	
FBXO32	241763_s_at
FBXO32	241762_at
KIAA0930	212421_at
KIAA0930	217118_s_at
KIAA0930	227144_at
KIAA0930	
RPS13P3	
RPSAP4	
EHD3	218935_at
EHD3	230740_at
RPL15P2	221475_s_at
ADIPOR1P2	
SERPINA13P	
TSPAN7	202242_at
TSPAN7	
CNIH1	225553_at
CNIH1	201653_at
CNIH1	
STARD3	202991_at
STARD3	
RASAL3	228677_s_at
RASAL3	
ZNFX1	
ZNFX1	225076_s_at
EIF4A1P3	
PDZD8	225830_at
PDZD8	225829_at
PDZD8	230416_at
PDZD8	213549_at
PDZD8	
ACTG1P19	
WDR5-DT	
MYO9A	226203_at
MYO9A	219027_s_at
MYO9A	
MYO9A	242512_at
	235071_at
BAG1	
BAG1	202387_at
BAG1	211475_s_at
BAG1	229720_at
PAPOLG	222273_at
PAPOLG	224427_s_at
PAPOLG	219160_s_at
PAPOLG	222839_s_at
PAPOLG	
KLRA1P	207229_at
DUX4L14	216473_x_at
FAM24A	243143_at
TEX36	
TEX36	244789_at
MRPL15	218027_at
MRPL15	
HMGB3P12	
LINC02674	
TCERG1L-AS1	
UBE2E2-DT	239880_at
CFP	206380_s_at
CFP	
EEF1AKMT2	
EEF1AKMT2	226631_at
EEF1AKMT2	226634_at
PDCD6IP	222394_at
PDCD6IP	217746_s_at
PDCD6IP	
GMFB	202543_s_at
GMFB	202544_at
GMFB	
NANOGNB	
ZFAS1	226835_s_at
ZFAS1	226227_x_at
ZFAS1	224915_x_at
ZFAS1	
LINC02758	
XIAPP2	
SGSM1	242921_at
SGSM1	230287_at
SGSM1	1562239_at
SGSM1	
SH3BGR	204979_s_at
SH3BGR	
FCHSD2	203620_s_at
FCHSD2	
FCHSD2	1554360_at
STRAP	200870_at
STRAP	236916_at
STRAP	
TM9SF3	217758_s_at
TM9SF3	222399_s_at
TM9SF3	224755_at
TM9SF3	
OLFML2A	
OLFML2A	213075_at
DDX3X	212515_s_at
DDX3X	201210_at
DDX3X	201211_s_at
DDX3X	212514_x_at
DDX3X	
DDX3X	207617_at
SBF1P1	
DEPTOR-AS1	
ZNF572	1553229_at
RPL31P33	
LIN28B	
LIN28B	229349_at
LYPLA1	1560637_at
LYPLA1	212449_s_at
LYPLA1	203007_x_at
LYPLA1	
C19orf44	228154_at
C19orf44	232730_at
C19orf44	
KRT18P9	
KRT18P24	
FABP7	205030_at
FABP7	205029_s_at
FABP7	216192_at
SPATA31B1P	
RFC5P1	
SKA2P1	225686_at
CDC20P1	
SAMD4A	
SAMD4A	215495_s_at
SAMD4A	212845_at
SAMD4A	215120_s_at
SAMD4A	215496_at
CAVIN4	241749_at
LINC01509	
HINT3	228697_at
HINT3	226533_at
HINT3	226537_at
LINC02575	
LINC02575	1556166_x_at
LINC02575	1556165_at
GATD3	
GATD3	202217_at
GATD3	210667_s_at
YAP1P3	
KRT18P50	217000_at
EEF1A1P42	217142_at
LINC02955	
LINC02955	1562058_at
IFNWP15	
	226835_s_at
SEPTIN7P7	
SNORD12C	
CALHM6-AS1	229543_at
IL9RP1	
SNORD12B	
MTND2P8	
SNORD12	
PARD6B	235165_at
PARD6B	214827_at
PARD6B	211907_s_at
PARD6B	
RRAGD	221524_s_at
RRAGD	221523_s_at
RRAGD	
CHMP5	218085_at
CHMP5	219356_s_at
CRB3P1	
NBPF21P	
LINC01797	
LINC01797	233172_at
PGAM1P6	
PRKCE-AS1	
TMSB4XP6	216438_s_at
PSMD10P1	
ADNP-AS1	
LINC01824	
MOCS3	206141_at
RPL12P12	
CCDC184	229626_at
NAA20	223040_at
NAA20	
RPL7P12	
IFITM3P6	
LINC01883	237871_x_at
ENDOU	206605_at
ENDOU	
NDUFAB1P1	
	1570084_at
OR4F8BP	234369_at
GABBR2	217077_s_at
GABBR2	211679_x_at
GABBR2	209991_x_at
GABBR2	209990_s_at
GABBR2	
VN1R80P	
CYP4F22	244692_at
CRNKL1	219913_s_at
HADHB	
HADHB	201007_at
EPB41L2	201718_s_at
EPB41L2	201719_s_at
EPB41L2	
ZDHHC16	223212_at
ZDHHC16	
RPL7AP74	
LINC01267	234171_at
HTR6	1552857_a_at
HTR6	206944_at
LINC00477	1553484_at
H3-5	
SUMF1	
SUMF1	226850_at
GUCD1	223039_at
GUCD1	
RPL10P17	216589_at
RBP7	238066_at
RNU6ATAC9P	
MIR4308	
FDPSP3	
YJEFN3	229961_x_at
WDHD1	216228_s_at
WDHD1	204727_at
WDHD1	204728_s_at
WDHD1	
GPR157	227970_at
GPR157	
ZBTB40	1559728_at
ZBTB40	
ZBTB40	203959_s_at
ZBTB40	203958_s_at
F2	205754_at
F2	
	225041_at
INTS13	221652_s_at
INTS13	
KRTAP13-4	
KRTAP6-2	
KRTAP6-1	
	1553972_a_at
	212816_s_at
CAPN3	211890_x_at
CAPN3	214475_x_at
CAPN3	210944_s_at
CAPN3	
	1564383_s_at
	224172_at
KRT16P3	
AMOTL1	
AMOTL1	235277_at
AMOTL1	225459_at
AMOTL1	225450_at
AMOTL1	228840_at
MEOX1	205619_s_at
MEOX1	
ENO1-AS1	237028_at
MICOS10-NBL1	224867_at
MICOS10-NBL1	
DDX10P2	
HOMER3-AS1	
RPS19P6	
NFYCP2	
RNA5SP279	
MIR4665	
RNU6-1073P	
MIR101-2	
RNU2-47P	
RN7SL98P	
RNU6-246P	
RN7SL123P	
SCARNA8	
RNU6-264P	
MTDHP2	
RNU6-319P	
BNIP3P19	
RN7SL720P	
RNU6-14P	
RN7SKP120	
RN7SL25P	
RN7SL849P	
RMRPP5	
RNU4ATAC15P	
MIR4475	
MIR4540	
MIR4476	
USHBP1	235510_at
USHBP1	
SPRYD3	225134_at
SPRYD3	
DHX8	
DHX8	203334_at
DHX8	227079_at
DHX8	231184_at
RNU6-677P	
RNA5SP530	1554517_x_at
RNA5SP530	1554516_at
CNN2P6	
RN7SL565P	
MIR4477A	
RN7SL343P	
RNA5SP283	1554517_x_at
RNA5SP283	1554516_at
RN7SL462P	
MTND4LP18	
RNU6-1293P	
RNU2-5P	
	244834_at
RN7SL570P	
RNA5SP285	
OR7E13P	
RNA5SP286	
RN7SKP47	
RNU6-445P	
RN7SL422P	
RN7SKP59	
RNU6-1303P	
	232575_at
RN7SKP242	
RNU4-15P	
RNU2-36P	
RNU4-29P	
NPHP4	213471_at
NPHP4	
NPHP4	216344_at
H3P34	
RN7SKP264	
RNU6-1228P	
MIR4290	
MIR3910-1	
TRIM77	
MIR3910-2	
MIR4291	
MIR4289	
RNU6-1160P	
RN7SKP87	
	210199_at
RNU6-996P	
RNU6-329P	
RNU6-492P	
RNA5SP291	
RN7SL659P	
RNU6-1064P	
MIR7702	
RNU6-855P	
RNA5SP293	
	202858_at
MIR3927	
RNU6-432P	
RNY4P18	
RNA5SP294	
OR7E2P	215770_at
RN7SL57P	
RNA5SP295	
	1565771_at
RN7SL430P	
RBMS3	
RBMS3	206767_at
RBMS3	235570_at
RBMS3	238447_at
RBMS3	241789_at
RBMS3	242137_at
MIR147A	
RNU6-710P	
RNU4-82P	240710_at
RN7SL302P	
RNU6-1039P	
MIR455	
MIR181A2	
MIR181B2	
CEP295	229878_at
CEP295	1569302_at
CEP295	
NRON	
CACNG2	244099_at
CACNG2	214495_at
CACNG2	
RN7SL30P	
MIR3689F	
RNU5D-2P	
RNU6ATAC	
MIR4669	
MIR3689A	
MIR3689C	
MIR3689D1	
MIR3689D2	
RN7SL328P	
MIR3689B	
MIR3689E	
MIR602	
RNU6-785P	
	238227_at
RIN2	
RIN2	209684_at
LINC02402	1561544_at
RPSAP13	
SLC5A4	215960_at
SMOC1	
SMOC1	222783_s_at
SMOC1	222784_at
SLC2A8	218985_at
SLC2A8	
DBX2-AS1	
SLC34A2	
SLC34A2	204124_at
	220139_at
RERG-IT1	
	243783_at
	202217_at
	210667_s_at
	209336_at
ASB8	218841_at
ASB8	226861_at
ASB8	
RNF24	210706_s_at
RNF24	226542_at
RNF24	204669_s_at
RNF24	204668_at
LARGE1	
LARGE1	204414_at
LARGE1	215543_s_at
ZNF486	
ZNF486	1553901_x_at
FER1L6-AS1	1553443_at
	211198_s_at
	213450_s_at
	211197_s_at
	211199_s_at
CASC11	1561232_at
CASC11	
HEATR4	1560727_at
HEATR4	
TCF7	205255_x_at
TCF7	205254_x_at
TCF7	
MRPS36P3	
ZNF682	
ZNF682	242915_at
ZNF682	216468_s_at
MATN2	202350_s_at
MATN2	
MATN2	237196_at
FTLP3	212788_x_at
RPL21P2	216479_at
MAML2	235457_at
MAML2	235106_at
NSFL1C	217830_s_at
NSFL1C	220248_x_at
NSFL1C	232520_s_at
NSFL1C	217831_s_at
NSFL1C	
	209412_at
	208184_s_at
	236407_at
	208514_at
	1554432_x_at
DISC1FP1	
	207020_at
	208579_x_at
CBX3P7	
	232470_at
	208078_s_at
FEZ2	215000_s_at
FEZ2	244549_at
FEZ2	
FEZ2	202305_s_at
FEZ2	210704_at
MTMR12P1	
MIR4300HG	
MIR4300HG	1557022_at
FRMD6	
FRMD6	225464_at
FRMD6	225481_at
PHF5CP	
CHERP	202229_s_at
CHERP	202230_s_at
CHERP	
CHERP	1568704_a_at
	236631_at
MESTP3	
	1565830_at
RSF1-IT2	
	239968_at
AQP11	229526_at
RPS26P24	
ZNF876P	1569468_at
UBE2L2	
PAXBP1-AS1	1556789_a_at
PAXBP1-AS1	239407_at
PAXBP1-AS1	
PPP1R1A	205478_at
PPP1R1A	235129_at
PPP1R1A	
ARAP1-AS1	
HPRT1P3	
DDI1	239299_at
HAP1	238275_at
HAP1	211604_x_at
HAP1	211222_s_at
LINC02940	
LINC02553	
ITGB2-AS1	229040_at
ITGB2-AS1	229041_s_at
ITGB2-AS1	
TYR	206630_at
TYR	1555505_a_at
TYR	1555504_at
ICOSLG	211199_s_at
ICOSLG	228976_at
ICOSLG	211198_s_at
ICOSLG	213450_s_at
ICOSLG	211197_s_at
STMN1P1	
TMEM117	
TMEM117	223594_at
	234012_at
LINC01714	
OSBPL9P2	
RUNX3-AS1	
LINC02380	1570262_at
LINC02380	
HSPD1P13	
IFNAR1	204191_at
IFNAR1	225669_at
IFNAR1	225661_at
IFNAR1	
MMP8	231688_at
MMP8	207329_at
MMP8	
MT1XP1	
ZBTB12BP	
SULT1B1	207601_at
SULT1B1	
CLIC4	221881_s_at
CLIC4	201559_s_at
CLIC4	201560_at
CLIC4	
SMTN	
SMTN	207390_s_at
SMTN	209427_at
SMTN	1556030_at
SCAND1	232652_x_at
SCAND1	231059_x_at
SCAND1	218206_x_at
HCK	208018_s_at
HCK	
MED1	225456_at
MED1	203497_at
MED1	203496_s_at
MED1	225452_at
MED1	
TEX49	1560619_at
ARHGEF19-AS1	
DYNLL1P3	217210_at
	202661_at
SLC2A13	1552694_at
SLC2A13	227176_at
SLC2A13	1552695_a_at
SLC2A13	234268_at
SLC2A13	
SRGAP3-AS1	
SZRD1	
SZRD1	212004_at
SZRD1	212005_at
SZRD1	212002_at
SZRD1	212003_at
SLC22A13	207444_at
SLC22A13	
OCIAD1-AS1	
SMIM14	243634_at
SMIM14	224990_at
SMIM14	227052_at
SMIM14	224989_at
SMIM14	
HNRNPCP8	
	233066_at
LINC02719	
ZNF79	216486_x_at
ZNF79	214138_at
LINC01690	
LINC03020	233162_at
IFNAR2	204786_s_at
IFNAR2	227125_at
IFNAR2	204785_x_at
IFNAR2	
OR10A7	
FBXO43	236852_at
FBXO43	
TMTC1	226322_at
TMTC1	224397_s_at
TMTC1	244506_at
TMTC1	226931_at
TMTC1	
ATP5MJ	210532_s_at
ATP5MJ	202279_at
ATP5MJ	
ANKRD17-DT	
RPL12	214271_x_at
RPL12	200809_x_at
RPL12	200088_x_at
ZNF714	
SNX18P25	
SDCBP	
SDCBP	200958_s_at
KCTD8	
HMGB1P44	
MTND3P5	
MTND6P16	
HNRNPA1P67	
LINC02261	
HMGN1P17	
PDIK1L	
PDIK1L	227255_at
SDAD1	
SDAD1	244688_at
SDAD1	228408_s_at
SDAD1	218607_s_at
SDAD1	242190_at
LINC01339	241327_at
LINC01339	
VN1R79P	
CTNNA1-AS1	
VN1R82P	
BNIP3P10	
ATG10-AS1	
RBBP4P6	
NECAP2	220731_s_at
NECAP2	
NECAP2	230123_at
CILP2	1552289_a_at
CILP2	1552288_at
CILP2	
HMGCS1	205822_s_at
HMGCS1	221750_at
HMGCS1	
VDAC2P5	211662_s_at
VDAC1P13	
DHRS2	
DHRS2	206463_s_at
DHRS2	214079_at
SFXN4	229236_s_at
SFXN4	225143_at
SFXN4	
SNORA65	214271_x_at
IGFBP4	201508_at
SLC3A1	205799_s_at
SLC3A1	239667_at
SLC3A1	
NIBAN2	233974_s_at
NIBAN2	223019_at
NIBAN2	
RPS12P5	
PBX4	230536_at
PBX4	
RPL9P30	
	228078_at
	1570071_at
TPRXL	
TPRXL	239061_at
TMIGD1	
IGSF21-AS1	
MICOS10-DT	
C12orf40	1561721_a_at
C12orf40	1553424_at
PPIAP34	
LAPTM5	201721_s_at
LAPTM5	201720_s_at
LAPTM5	
CRTC1	207159_x_at
CRTC1	213091_at
MAP1B	
MAP1B	214577_at
MAP1B	212233_at
MAP1B	226084_at
BECN1	208945_s_at
BECN1	208946_s_at
BECN1	
BECN1	1561652_at
LRRN1	1569656_at
LRRN1	226884_at
LRRN1	
NPC2	
NPC2	200701_at
SLC30A2	230084_at
SLC30A2	224485_s_at
SLC30A2	
NANOG	220184_at
NANOG	231079_at
NANOG	
RPL23AP38	
RHBDF1P1	
VENTXP4	
CFAP300	224463_s_at
CFAP300	241198_s_at
CFAP300	
RPS24P8	
H3P11	
KCNH8	1552742_at
KCNH8	
LINC02667	234053_at
DUX4L20	216473_x_at
MMP21	1552592_at
MMP21	
PHACTR4	
PHACTR4	226823_at
PHACTR4	219235_s_at
SLC38A1	224579_at
SLC38A1	218237_s_at
SLC38A1	224580_at
SLC38A1	
SLC38A1	242367_at
MMP27	220783_at
PPP2R2D	221772_s_at
PPP2R2D	225066_at
PPP2R2D	
ARHGAP8	205980_s_at
ARHGAP8	37117_at
ARHGAP8	232567_at
ARHGAP8	1555162_at
ARHGAP8	
DDX27	219108_x_at
DDX27	215693_x_at
DDX27	221780_s_at
DDX27	
GNAI2	201040_at
GNAI2	
ASS1P13	
KBTBD3	
KBTBD3	228777_at
ZNF93	
ZNF93	215758_x_at
ZNF93	1569240_at
ZNF93	1569241_a_at
ZNF93	208119_s_at
LINC02224	
TH2LCRR	237074_at
TH2LCRR	1563389_at
TH2LCRR	
SNW1	215424_s_at
SNW1	201575_at
SNW1	
	209349_at
	208393_s_at
	238656_at
	209575_at
PTRH1	1569430_at
PTRH1	228014_at
PTRH1	
ARHGAP42	223595_at
ARHGAP42	230047_at
ARHGAP42	
ARHGAP42	1553383_at
SUMO2P19	
LINC01181	
IFITM3P7	216565_x_at
ESM1	208394_x_at
ESM1	
	222909_s_at
BNIP3P27	
EEF1A1P37	
VN1R78P	
	216423_at
BNIP3P9	
BNIP3P15	
DEPTOR	218858_at
CASC2	239713_at
CASC2	1562336_at
CASC2	1556630_at
CASC2	1564372_s_at
CASC2	1564371_a_at
CASC2	
LINCADL	
BNIP3P17	
LAMTOR3P2	
COQ10BP2	
	236982_at
PSD2-AS1	
BNIP3P13	
ZNF257	210697_at
ZNF257	
LINC01950	
CNKSR1	204740_at
CNKSR1	
LINC01332	
ARL4D	203586_s_at
PRELID3BP8	
AFM	206840_at
AFM	
RGMB	
RGMB	242450_at
RGMB	227339_at
RGMB	227340_s_at
RGMB	226989_at
LINC01671	
CNTD1	231463_at
CNTD1	
LINC00323	240068_at
LINC00323	
LINC01873	
MIR3911	
ZNF492	215532_x_at
CFAP157	231172_at
CFAP157	1557867_s_at
CFAP157	1557866_at
RARRES2P2	
MOB4P1	
DUX4L25	216473_x_at
LINC01163	
ACTBP4	
ANXA4	
ANXA4	201302_at
ANXA4	201301_s_at
LINC01170	
	234546_at
SEC63P2	
CABS1	231612_at
CUZD1	220275_at
NDUFS5P6	
MTND1P7	
HOXB9	216417_x_at
HOXB9	226461_at
CCL28	224240_s_at
CCL28	224027_at
CCL28	238750_at
CCL28	
LINC00649	
TTC16	236833_at
TMPRSS11B	1560712_at
TMPRSS11B	
TRIM51BP	
BHLHE22-AS1	1563927_a_at
PPIAP54	
ZNF624	232272_at
ZNF624	
TOMM20P1	
PPIAP43	
UBXN2B	212934_at
UBXN2B	238903_at
UBXN2B	
TRIM64DP	
TRIM64DP	1561997_at
LINC01678	
KLHL26	219354_at
KLHL26	
LINC00319	236631_at
LINC00319	
RANP3	
HMGN2P38	
ANKRD55	220112_at
ANKRD55	
BIRC3	210538_s_at
BIRC3	230499_at
BIRC3	
MTG2	1568822_at
MTG2	
MTG2	226606_s_at
MTG2	226598_s_at
MTG2	226854_at
ST3GAL1P1	
LINC02493	1561454_at
INSYN2A	244435_at
TOR2A	227972_at
SMR3B	214565_s_at
SMR3B	207441_at
SMR3B	
MIR99AHG	239999_at
MIR99AHG	
MIR99AHG	1559412_at
MIR99AHG	1559901_s_at
MIR99AHG	1559521_at
CDC25B	201853_s_at
CDC25B	
SLC35E1	229410_at
SLC35E1	235035_at
SLC35E1	227518_at
SLC35E1	79005_at
SLC35E1	222263_at
SLC35E1	
SLC35E1	220796_x_at
DUX4L23	216473_x_at
TMEM11-DT	
	1565806_at
SLIRPP2	
CLRN3	229777_at
	237576_x_at
UBE2K	202347_s_at
UBE2K	225179_at
UBE2K	202346_at
SPNS3	235900_at
SPNS3	
SAR1AP2	
RPL7P36	
AGGF1P2	
PTK2B	203111_s_at
PTK2B	203110_at
PTK2B	
WDR11	218090_s_at
WDR11	
WDR11	229694_at
TRPC7-AS1	
CTNNA1P1	217366_at
APOBEC3H	
SPATA9	223841_s_at
SPATA9	223840_s_at
KLHL28	235727_at
KLHL28	228328_at
KLHL28	
BNIP3P28	
SH2D3C	226673_at
SH2D3C	1552667_a_at
SH2D3C	
TMEM161A	218745_x_at
TMEM161A	43977_at
TMEM161A	
COX7B2	231265_at
SKAP1-AS2	1560861_at
SKAP1-AS2	
PLD4	
PLD4	235802_at
PLD4	1566433_at
ZC3H12C	231899_at
ZC3H12C	
	1558226_a_at
	236716_at
	1556904_at
	1558225_at
OR7H2P	
UGT2B11	211682_x_at
UGT2B11	
	235102_x_at
SEMA6A-AS1	
HOXB-AS2	
GUSBP9	
THBS4-AS1	
SHROOM3	225548_at
SHROOM3	228400_at
SHROOM3	
CRLF3	
CRLF3	205474_at
PPIC-AS1	
UBP1	218082_s_at
UBP1	
NOX4	236843_at
NOX4	219773_at
NOX4	
TEX33	231617_at
LINC02590	
ACYP2	
ACYP2	206833_s_at
SLC8A3	1562403_a_at
SLC8A3	1568859_a_at
SLC8A3	
VN1R71P	
POM121L14P	
PEX3	
PEX3	203970_s_at
PEX3	203972_s_at
MPST	203524_s_at
MPST	
JUP	201015_s_at
JUP	
SCD5	224901_at
SCD5	224018_s_at
SCD5	220232_at
TNMD	220065_at
TNMD	
DNAJB12P1	
LINC02475	
LINC02475	1557219_at
KLF3	219657_s_at
KLF3	225140_at
KLF3	225133_at
KLF3	222913_at
KLF3	
LINC02919	
WDPCP	224180_x_at
WDPCP	231770_x_at
WDPCP	224258_at
WDPCP	
RPS18P9	
TSPAN6	209108_at
TSPAN6	209109_s_at
TSPAN6	
HSF2	211220_s_at
HSF2	209657_s_at
PRDX3	201619_at
PRDX3	209766_at
PRDX3	
	217719_at
RNU6-900P	
C22orf23	223706_at
C22orf23	
BNIP3P25	
FRYL	1554260_a_at
FRYL	1563687_a_at
FRYL	212548_s_at
FRYL	212546_s_at
FRYL	
FRYL	1562650_at
FRYL	1562625_at
FAM110D	220430_at
TCF4-AS1	237749_at
MIR4529	
TCF4-AS2	
	1568894_at
	1561318_at
RPL21P126	
LINC01415	
ICMT	201611_s_at
ICMT	201610_at
ICMT	201609_x_at
	1566586_at
PCAT18	1559276_at
ARMC6	221758_at
ARMC6	
CDK9	
CDK9	203198_at
CDK9	236023_at
AQP4	210066_s_at
AQP4	226228_at
